mode,size_kb,n_runs,enc_mean_ms,enc_stdev_ms,trans_mean_ms,trans_stdev_ms,dec_mean_ms,dec_stdev_ms,total_mean_ms,total_stdev_ms,ct_size_mean_bytes,ct_size_stdev_bytes
RSA,1,30,0.9936,0.3253,2091.1499,14.7822,30.4568,1.7979,2122.6004,15.667,2883.4667,0.7761
RSA,10,30,1.0933,0.2425,2092.9229,15.5153,29.8416,1.0383,2123.8579,16.0075,21315.6,0.5632
RSA,100,30,1.2926,0.4977,2105.569,13.3803,29.9015,1.5563,2136.7631,13.7256,205635.6,0.6215
ECC,1,30,1.1355,0.3937,2068.0693,17.1481,0.6736,0.2228,2069.8784,17.2967,2437.4333,0.7739
ECC,10,30,1.0077,0.4223,2060.7107,17.6926,0.7046,0.2304,2062.423,17.8041,20869.6,0.5632
ECC,100,30,1.3594,0.4624,2084.4046,17.0385,0.9472,0.3116,2086.7111,16.9095,205189.6333,0.5561
