mode,size_kb,n_runs,rtt_mean_ms,rtt_std_ms,ct_size_mean_bytes,ct_size_std_bytes
RSA,1,30,4116.8205,22.3856,2895.7,0.47
RSA,10,30,4106.4166,20.4587,21327.7,0.47
RSA,100,30,4112.3249,18.2228,205647.7,0.47
ECC,1,30,4090.9734,22.4262,2449.7,0.47
ECC,10,30,4097.7786,22.5932,20881.7,0.47
ECC,100,30,4113.7969,23.1002,205201.7,0.47
