mode,size_kb,enc_mean_ms,enc_std_ms,dec_mean_ms,dec_std_ms,ct_mean_bytes,ct_std_bytes
RSA,1,0.3928,1.3755,0.9093,0.2354,2866,0.47
RSA,10,0.1689,0.0573,0.9571,0.2635,21298,0.47
RSA,100,0.5553,0.1158,1.535,0.388,205618,0.47
ECC,1,0.1973,0.3129,0.0839,0.0076,2420,0.47
ECC,10,0.2876,0.0708,0.2028,0.0478,20852,0.47
ECC,100,0.6252,0.178,0.675,0.1895,205172,0.47
